,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole
805,3011.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3oc(-c4cccc(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)c4-n4c5ccccc5c5ccccc54)cc3c2)c1,Fc1cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccnc(F)c6)c5F)cc4c3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
806,3012.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc(Br)o1,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)o2)c1,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4F)o3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
807,3013.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)cc21,Fc1cc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6ccnc(F)c6)c5F)ccc3-4)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
808,3014.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)cc1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4F)c(Cl)cc3Cl)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
809,3015.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cnc3nc(-c4cccc(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)c4-n4c5ccccc5c5ccccc54)ccc3c2)c1,Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5F)ccc4c3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
810,3016.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cccc3cccc(-c4cccc(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)c4-n4c5ccccc5c5ccccc54)c23)c1,Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5F)c34)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
811,3017.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3F)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3F)cc21,c1ccc2c(c1)[nH]c1ccccc12
812,3018.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4F)c4nsnc34)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
813,3019.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)cc1,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1,c1ccc2c(c1)[nH]c1ccccc12
814,3020.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3nc4ccc(-c5cccc(-c6ccnc(-n7c8ccccc8c8ccccc87)c6)c5-n5c6ccccc6c6ccccc65)cc4nc3c2)c1,Fc1cc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccnc(F)c7)c6F)cc5nc4c3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
